from,to,score
AT3G56970,AT3G56980,0.116084
AT1G49720,AT4G16146,0.114592
AT3G56980,AT3G56970,0.111939
AT1G49720,AT1G19370,0.10967
AT1G49720,AT3G09600,0.108444
AT1G49720,AT3G02380,0.102985
AT1G49720,AT1G01060,0.10252
AT1G49720,AT5G58600,0.101672
AT5G54680,AT4G36980,0.100967
AT4G25400,AT4G25280,0.099105
AT1G49720,AT2G21130,0.098521
AT1G49720,AT3G10410,0.09722
AT2G28160,AT2G35930,0.097084
AT5G48560,AT1G65150,0.097034
AT1G49720,AT4G09020,0.096707
AT2G22850,AT1G76065,0.095818
AT3G56970,AT5G04150,0.095424
AT3G23210,AT1G16730,0.094822
AT3G59060,AT3G27690,0.094402
AT1G49720,AT4G01670,0.094023
AT3G23210,AT1G23740,0.093262
AT1G49720,AT1G13600,0.092428
AT5G24800,AT5G26200,0.092319
AT5G67110,AT3G28220,0.091895
AT1G49720,AT2G36390,0.091743
AT3G56980,AT5G04150,0.091422
AT5G48560,AT3G25905,0.091315
AT1G42990,AT3G24050,0.090957
AT5G61270,AT5G15450,0.09053
AT1G22070,AT1G01500,0.090124
AT5G61270,AT1G16730,0.089771
AT1G68920,AT2G25660,0.088927
AT4G36930,AT4G35900,0.088815
AT2G46270,AT4G34000,0.088688
AT4G36730,AT4G17730,0.0885
AT3G23210,AT4G11570,0.087759
AT1G31050,AT2G28890,0.087616
AT5G54680,AT1G72020,0.087569
AT5G04150,AT3G56970,0.087564
AT5G46760,AT3G63070,0.087492
AT1G68920,AT1G07810,0.087018
AT4G36730,AT5G39660,0.086864
AT1G22070,AT1G64890,0.086585
AT3G23210,AT1G17050,0.086346
AT5G61270,AT3G61750,0.086306
AT5G61270,AT4G11570,0.086259
AT5G04150,AT3G56980,0.085971
AT5G06960,AT1G61660,0.085827
AT1G68920,AT3G11910,0.085704
AT5G46760,AT5G08110,0.085698
AT4G36730,AT1G02840,0.085651
AT5G67110,AT4G38950,0.085605
AT1G68640,AT3G28220,0.085575
AT3G10800,AT4G33240,0.085499
AT1G06070,AT5G55670,0.085359
AT3G23210,AT3G61750,0.08534
AT1G19490,AT3G47160,0.085266
AT1G68920,AT5G44800,0.084818
AT1G49720,AT1G75140,0.084763
AT1G19490,AT5G12840,0.084467
AT1G68920,AT4G04970,0.084455
AT1G68920,AT1G73970,0.084428
AT2G46270,AT5G11060,0.08435
AT1G68920,AT1G67792,0.084316
AT1G43700,AT4G03030,0.084261
AT3G10800,AT4G16760,0.084169
AT1G68920,AT5G60410,0.084024
AT3G56850,AT5G67250,0.083925
AT1G43700,AT1G05890,0.083632
AT1G49720,AT5G47240,0.083592
AT2G46270,AT4G18700,0.083564
AT4G14410,AT3G21865,0.083561
AT3G19860,AT1G20490,0.083541
AT4G25400,AT4G25390,0.083539
AT1G19490,AT5G02950,0.083312
AT3G23210,AT2G37240,0.083301
AT5G54680,AT2G39460,0.083191
AT1G68920,AT1G08592,0.083161
AT1G19490,AT4G30960,0.082927
AT5G61270,AT2G34460,0.082923
AT1G06070,AT3G61690,0.082833
AT2G46270,AT4G14550,0.082829
AT4G34000,AT1G69040,0.082808
AT3G56850,AT1G17120,0.082601
AT1G68920,AT3G08530,0.082506
AT1G68920,AT1G79350,0.082492
AT5G54680,AT2G30260,0.082024
AT5G38860,AT3G19860,0.081969
AT5G54680,AT5G07270,0.081961
AT1G68920,AT2G07360,0.081924
AT3G56850,AT1G11480,0.081739
AT1G68920,AT3G61710,0.081717
AT3G10800,AT5G08130,0.081675
AT2G46270,AT1G68440,0.081536
AT5G08130,AT2G18790,0.081518
AT1G68920,AT5G04460,0.081487
AT3G59060,AT5G06980,0.081357
AT3G23210,AT1G54110,0.081252
AT4G34000,AT2G46270,0.081247
AT1G06070,AT4G11800,0.080955
AT3G57800,AT2G41710,0.080892
AT1G06070,AT4G17330,0.080625
AT5G54680,AT3G61860,0.080554
AT5G46760,AT1G79280,0.080459
AT1G06070,AT5G62090,0.080434
AT5G54680,AT1G01710,0.080431
AT4G34000,AT3G53800,0.080389
AT2G46810,AT5G08430,0.080345
AT3G23210,AT5G50100,0.080259
AT3G56850,AT3G17650,0.080227
AT4G34000,AT2G38610,0.080163
AT4G34000,AT3G02470,0.080148
AT5G61270,AT3G48610,0.080147
AT3G10800,AT4G02020,0.080132
AT3G23210,AT2G34460,0.080098
AT1G06070,AT4G03390,0.079934
AT1G22070,AT1G07420,0.079904
AT5G28770,AT3G06590,0.079848
AT4G34000,AT5G42810,0.079836
AT1G42990,AT2G26540,0.079794
AT3G56850,AT3G04470,0.079793
AT2G47270,AT5G08790,0.079734
AT3G23210,AT4G10040,0.079681
AT5G48560,AT3G53370,0.079645
AT5G48560,AT5G49560,0.079611
AT1G06070,AT2G39260,0.079599
AT3G57800,AT5G24155,0.079577
AT1G68920,AT3G54440,0.079533
AT1G43700,AT5G56600,0.079413
AT3G23210,AT5G15450,0.079376
AT1G19490,AT3G01060,0.07926
AT3G17100,AT3G54740,0.079239
AT5G06960,AT4G25670,0.079146
AT4G34000,AT1G22370,0.079136
AT1G43700,AT1G74090,0.079132
AT1G68920,AT3G23900,0.079085
AT1G10610,AT1G17470,0.079023
AT4G36730,AT5G17300,0.078971
AT5G50915,AT1G30510,0.078905
AT1G68920,AT2G35630,0.078835
AT1G06070,AT3G63460,0.078645
AT4G35900,AT4G36930,0.078631
AT5G46760,AT4G21105,0.078583
AT2G22850,AT1G69410,0.07853
AT3G59060,AT5G14550,0.07851
AT4G34000,AT3G56940,0.078477
AT2G24260,AT4G01120,0.078362
AT3G56850,AT1G15750,0.07836
AT2G41070,AT1G19570,0.078338
AT1G68920,AT1G60200,0.078293
AT1G68920,AT2G47350,0.078263
AT5G48560,AT4G33520,0.078263
AT1G68810,AT1G77920,0.078253
AT1G68640,AT4G01880,0.078122
AT4G34000,AT2G37320,0.078106
AT1G49720,AT4G18530,0.078012
AT5G61270,AT1G30120,0.07801
AT4G38900,AT2G25660,0.077827
AT5G46760,AT2G36960,0.077819
AT4G17880,AT2G30150,0.077796
AT1G68920,AT5G51690,0.077638
AT5G61270,AT1G76240,0.077573
AT2G31280,AT4G35580,0.077571
AT1G06070,AT2G04865,0.07756
AT4G34000,AT3G62110,0.077555
AT1G03970,AT5G35520,0.077544
AT5G46760,AT5G56270,0.077483
AT1G49720,AT1G64890,0.077287
AT5G44080,AT5G40910,0.077245
AT3G19860,AT5G38860,0.077156
AT5G39860,AT3G15540,0.077152
AT1G68920,AT5G40340,0.077141
AT4G30180,AT2G23590,0.077134
AT1G68920,AT2G47760,0.077084
AT1G49720,AT2G43550,0.077077
AT5G50915,AT1G16300,0.076916
AT1G63650,AT1G51140,0.076874
AT2G40950,AT5G57015,0.076821
AT1G61660,AT5G63790,0.076776
AT1G68920,AT1G02990,0.076707
AT5G46760,AT3G57570,0.076642
AT1G49720,AT1G79440,0.076592
AT3G06590,AT5G28770,0.076534
AT5G54680,AT2G16600,0.076532
AT4G34000,AT5G48470,0.076528
AT4G36730,AT1G34630,0.076507
AT1G22070,AT3G02380,0.076504
AT4G34000,AT3G54500,0.076499
AT4G36730,AT5G56100,0.076464
AT5G61270,AT1G23740,0.076405
AT3G19860,AT1G15180,0.076292
AT3G23210,AT1G19490,0.076281
AT1G02340,AT5G39860,0.076253
AT1G06070,AT1G24460,0.076247
AT3G23210,AT4G39800,0.076241
AT1G68920,AT1G16710,0.076216
AT1G06070,AT3G07160,0.076202
AT3G06590,AT3G27420,0.076159
AT3G23210,AT1G53670,0.076128
AT4G34000,AT5G54110,0.076115
AT1G06070,AT5G07920,0.076031
AT3G19860,AT1G19396,0.075993
AT5G46760,AT3G46920,0.07599
AT5G46760,AT1G02990,0.075984
AT5G61270,AT4G22240,0.075919
AT3G23210,AT1G10370,0.07582
AT4G30410,AT5G63650,0.075798
AT3G23210,AT1G76570,0.07571
AT3G07340,AT2G06040,0.075696
AT4G34000,AT5G13630,0.075676
AT2G27230,AT5G45472,0.075604
AT1G49720,AT2G21660,0.075529
AT1G06070,AT3G05670,0.07552
AT5G46760,AT3G07160,0.075508
AT4G36730,AT2G42780,0.075456
AT5G28770,AT3G27420,0.075414
AT5G61270,AT1G10370,0.075402
AT2G46270,AT3G57880,0.075384
AT2G46270,AT3G06760,0.075342
AT1G61660,AT5G06960,0.07532
AT1G43700,AT3G62980,0.075105
AT3G23210,AT2G36895,0.07499
AT1G06070,AT5G21990,0.074976
AT1G68920,AT5G41100,0.07497
AT4G14410,AT4G14310,0.074906
AT1G68920,AT2G22530,0.074889
AT5G46760,AT5G42092,0.074871
AT3G19290,AT2G36080,0.074864
AT3G56850,AT1G27600,0.074834
